gid,x,y,z
386,-13.5,-2.14286,1.42857
387,-13.5,-2.14286,1.78571
388,-13.5,-2.14286,2.14286
389,-13.5,-2.14286,2.5
390,-13.5,-2.14286,3.5
391,-13.5,-1.42857,-3.5
392,-13.5,-1.42857,-2.5
393,-13.5,-1.42857,-2.14286
394,-13.5,-1.42857,-1.78571
395,-13.5,-1.42857,-1.42857
396,-13.5,-1.42857,-1.07143
397,-13.5,-1.42857,-0.714286
398,-13.5,-1.42857,-0.357143
399,-13.5,-1.42857,-0
400,-13.5,-1.42857,0.357143
401,-13.5,-1.42857,0.714286
402,-13.5,-1.42857,1.07143
403,-13.5,-1.42857,1.42857
404,-13.5,-1.42857,1.78571
405,-13.5,-1.42857,2.14286
406,-13.5,-1.42857,2.5
407,-13.5,-1.42857,3.5
408,-13.5,-0.714286,-3.5
409,-13.5,-0.714286,-2.5
410,-13.5,-0.714286,-2.14286
411,-13.5,-0.714286,-1.78571
412,-13.5,-0.714286,-1.42857
413,-13.5,-0.714286,-1.07143
414,-13.5,-0.714286,-0.714286
415,-13.5,-0.714286,-0.357143
416,-13.5,-0.714286,-0
417,-13.5,-0.714286,0.357143
418,-13.5,-0.714286,0.714286
419,-13.5,-0.714286,1.07143
420,-13.5,-0.714286,1.42857
421,-13.5,-0.714286,1.78571
422,-13.5,-0.714286,2.14286
423,-13.5,-0.714286,2.5
424,-13.5,-0.714286,3.5
425,-13.5,-0,-3.5
426,-13.5,-0,-2.5
427,-13.5,-0,-2.14286
428,-13.5,-0,-1.78571
429,-13.5,-0,-1.42857
430,-13.5,-0,-1.07143
431,-13.5,-0,-0.714286
432,-13.5,-0,-0.357143
433,-13.5,-0,-0
434,-13.5,-0,0.357143
435,-13.5,-0,0.714286
436,-13.5,-0,1.07143
437,-13.5,-0,1.42857
438,-13.5,-0,1.78571
439,-13.5,-0,2.14286
440,-13.5,-0,2.5
441,-13.5,-0,3.5
442,-13.5,0.714286,-3.5
443,-13.5,0.714286,-2.5
444,-13.5,0.714286,-2.14286
445,-13.5,0.714286,-1.78571
446,-13.5,0.714286,-1.42857
447,-13.5,0.714286,-1.07143
448,-13.5,0.714286,-0.714286
449,-13.5,0.714286,-0.357143
450,-13.5,0.714286,-0
451,-13.5,0.714286,0.357143
452,-13.5,0.714286,0.714286
453,-13.5,0.714286,1.07143
454,-13.5,0.714286,1.42857
455,-13.5,0.714286,1.78571
456,-13.5,0.714286,2.14286
457,-13.5,0.714286,2.5
458,-13.5,0.714286,3.5
459,-13.5,1.42857,-3.5
460,-13.5,1.42857,-2.5
461,-13.5,1.42857,-2.14286
462,-13.5,1.42857,-1.78571
463,-13.5,1.42857,-1.42857
464,-13.5,1.42857,-1.07143
465,-13.5,1.42857,-0.714286
466,-13.5,1.42857,-0.357143
467,-13.5,1.42857,-0
468,-13.5,1.42857,0.357143
469,-13.5,1.42857,0.714286
470,-13.5,1.42857,1.07143
471,-13.5,1.42857,1.42857
472,-13.5,1.42857,1.78571
473,-13.5,1.42857,2.14286
474,-13.5,1.42857,2.5
475,-13.5,1.42857,3.5
476,-13.5,2.14286,-3.5
477,-13.5,2.14286,-2.5
478,-13.5,2.14286,-2.14286
479,-13.5,2.14286,-1.78571
480,-13.5,2.14286,-1.42857
481,-13.5,2.14286,-1.07143
482,-13.5,2.14286,-0.714286
483,-13.5,2.14286,-0.357143
484,-13.5,2.14286,-0
485,-13.5,2.14286,0.357143
486,-13.5,2.14286,0.714286
487,-13.5,2.14286,1.07143
488,-13.5,2.14286,1.42857
489,-13.5,2.14286,1.78571
490,-13.5,2.14286,2.14286
491,-13.5,2.14286,2.5
492,-13.5,2.14286,3.5
493,-13.5,2.85714,-3.5
494,-13.5,2.85714,-2.5
495,-13.5,2.85714,-2.14286
496,-13.5,2.85714,-1.78571
497,-13.5,2.85714,-1.42857
498,-13.5,2.85714,-1.07143
499,-13.5,2.85714,-0.714286
500,-13.5,2.85714,-0.357143
501,-13.5,2.85714,-0
502,-13.5,2.85714,0.357143
503,-13.5,2.85714,0.714286
504,-13.5,2.85714,1.07143
505,-13.5,2.85714,1.42857
506,-13.5,2.85714,1.78571
507,-13.5,2.85714,2.14286
508,-13.5,2.85714,2.5
509,-13.5,2.85714,3.5
510,-13.5,3.57143,-3.5
511,-13.5,3.57143,-2.5
512,-13.5,3.57143,-2.14286
513,-13.5,3.57143,-1.78571
514,-13.5,3.57143,-1.42857
515,-13.5,3.57143,-1.07143
516,-13.5,3.57143,-0.714286
517,-13.5,3.57143,-0.357143
518,-13.5,3.57143,-0
519,-13.5,3.57143,0.357143
520,-13.5,3.57143,0.714286
521,-13.5,3.57143,1.07143
522,-13.5,3.57143,1.42857
523,-13.5,3.57143,1.78571
524,-13.5,3.57143,2.14286
525,-13.5,3.57143,2.5
526,-13.5,3.57143,3.5
527,-13.5,4.28571,-3.5
528,-13.5,4.28571,-2.5
529,-13.5,4.28571,-2.14286
530,-13.5,4.28571,-1.78571
531,-13.5,4.28571,-1.42857
532,-13.5,4.28571,-1.07143
533,-13.5,4.28571,-0.714286
534,-13.5,4.28571,-0.357143
535,-13.5,4.28571,-0
536,-13.5,4.28571,0.357143
537,-13.5,4.28571,0.714286
538,-13.5,4.28571,1.07143
539,-13.5,4.28571,1.42857
540,-13.5,4.28571,1.78571
541,-13.5,4.28571,2.14286
542,-13.5,4.28571,2.5
543,-13.5,4.28571,3.5
544,-13.5,5,-3.5
545,-13.5,5,-2.5
546,-13.5,5,-2.14286
547,-13.5,5,-1.78571
548,-13.5,5,-1.42857
549,-13.5,5,-1.07143
550,-13.5,5,-0.714286
551,-13.5,5,-0.357143
552,-13.5,5,-0
553,-13.5,5,0.357143
554,-13.5,5,0.714286
555,-13.5,5,1.07143
556,-13.5,5,1.42857
557,-13.5,5,1.78571
558,-13.5,5,2.14286
559,-13.5,5,2.5
560,-13.5,5,3.5
561,-13.5,6,-3.5
562,-13.5,6,-2.5
563,-13.5,6,-2.14286
564,-13.5,6,-1.78571
565,-13.5,6,-1.42857
566,-13.5,6,-1.07143
567,-13.5,6,-0.714286
568,-13.5,6,-0.357143
569,-13.5,6,-0
570,-13.5,6,0.357143
571,-13.5,6,0.714286
572,-13.5,6,1.07143
573,-13.5,6,1.42857
574,-13.5,6,1.78571
575,-13.5,6,2.14286
576,-13.5,6,2.5
577,-13.5,6,3.5
578,-12,-6,-3.5
579,-12,-6,-2.5
580,-12,-6,-2.14286
581,-12,-6,-1.78571
582,-12,-6,-1.42857
583,-12,-6,-1.07143
584,-12,-6,-0.714286
585,-12,-6,-0.357143
586,-12,-6,-0
587,-12,-6,0.357143
588,-12,-6,0.714286
589,-12,-6,1.07143
590,-12,-6,1.42857
591,-12,-6,1.78571
592,-12,-6,2.14286
593,-12,-6,2.5
594,-12,-6,3.5
595,-12,-5,-3.5
596,-12,-5,-2.5
597,-12,-5,-2.14286
598,-12,-5,-1.78571
599,-12,-5,-1.42857
600,-12,-5,-1.07143
601,-12,-5,-0.714286
602,-12,-5,-0.357143
603,-12,-5,-0
604,-12,-5,0.357143
605,-12,-5,0.714286
606,-12,-5,1.07143
607,-12,-5,1.42857
608,-12,-5,1.78571
609,-12,-5,2.14286
610,-12,-5,2.5
611,-12,-5,3.5
612,-12,-4.28571,-3.5
613,-12,-4.28571,-2.5
614,-12,-4.28571,-2.14286
615,-12,-4.28571,-1.78571
616,-12,-4.28571,-1.42857
617,-12,-4.28571,-1.07143
618,-12,-4.28571,-0.714286
619,-12,-4.28571,-0.357143
620,-12,-4.28571,-0
621,-12,-4.28571,0.357143
622,-12,-4.28571,0.714286
623,-12,-4.28571,1.07143
624,-12,-4.28571,1.42857
625,-12,-4.28571,1.78571
626,-12,-4.28571,2.14286
627,-12,-4.28571,2.5
628,-12,-4.28571,3.5
629,-12,-3.57143,-3.5
630,-12,-3.57143,-2.5
631,-12,-3.57143,-2.14286
632,-12,-3.57143,-1.78571
633,-12,-3.57143,-1.42857
634,-12,-3.57143,-1.07143
635,-12,-3.57143,-0.714286
636,-12,-3.57143,-0.357143
637,-12,-3.57143,-0
638,-12,-3.57143,0.357143
639,-12,-3.57143,0.714286
640,-12,-3.57143,1.07143
641,-12,-3.57143,1.42857
642,-12,-3.57143,1.78571
643,-12,-3.57143,2.14286
644,-12,-3.57143,2.5
645,-12,-3.57143,3.5
646,-12,-2.85714,-3.5
647,-12,-2.85714,-2.5
648,-12,-2.85714,-2.14286
649,-12,-2.85714,-1.78571
650,-12,-2.85714,-1.42857
651,-12,-2.85714,-1.07143
652,-12,-2.85714,-0.714286
653,-12,-2.85714,-0.357143
654,-12,-2.85714,-0
655,-12,-2.85714,0.357143
656,-12,-2.85714,0.714286
657,-12,-2.85714,1.07143
658,-12,-2.85714,1.42857
659,-12,-2.85714,1.78571
660,-12,-2.85714,2.14286
661,-12,-2.85714,2.5
662,-12,-2.85714,3.5
663,-12,-2.14286,-3.5
664,-12,-2.14286,-2.5
665,-12,-2.14286,-2.14286
666,-12,-2.14286,-1.78571
667,-12,-2.14286,-1.42857
668,-12,-2.14286,-1.07143
669,-12,-2.14286,-0.714286
670,-12,-2.14286,-0.357143
671,-12,-2.14286,-0
672,-12,-2.14286,0.357143
673,-12,-2.14286,0.714286
674,-12,-2.14286,1.07143
675,-12,-2.14286,1.42857
676,-12,-2.14286,1.78571
677,-12,-2.14286,2.14286
678,-12,-2.14286,2.5
679,-12,-2.14286,3.5
680,-12,-1.42857,-3.5
681,-12,-1.42857,-2.5
682,-12,-1.42857,-2.14286
683,-12,-1.42857,-1.78571
684,-12,-1.42857,-1.42857
685,-12,-1.42857,-1.07143
686,-12,-1.42857,-0.714286
687,-12,-1.42857,-0.357143
688,-12,-1.42857,-0
689,-12,-1.42857,0.357143
690,-12,-1.42857,0.714286
691,-12,-1.42857,1.07143
692,-12,-1.42857,1.42857
693,-12,-1.42857,1.78571
694,-12,-1.42857,2.14286
695,-12,-1.42857,2.5
696,-12,-1.42857,3.5
697,-12,-0.714286,-3.5
698,-12,-0.714286,-2.5
699,-12,-0.714286,-2.14286
700,-12,-0.714286,-1.78571
701,-12,-0.714286,-1.42857
702,-12,-0.714286,-1.07143
703,-12,-0.714286,-0.714286
704,-12,-0.714286,-0.357143
705,-12,-0.714286,-0
