H_eV,T_noC,T_withC
-8.227024e-01,0.000000e+00,0.000000e+00
-8.202024e-01,0.000000e+00,0.000000e+00
-8.177024e-01,0.000000e+00,0.000000e+00
-8.152024e-01,0.000000e+00,0.000000e+00
-8.127024e-01,0.000000e+00,0.000000e+00
-8.102024e-01,0.000000e+00,0.000000e+00
-8.077024e-01,0.000000e+00,0.000000e+00
-8.052024e-01,0.000000e+00,0.000000e+00
-8.027024e-01,0.000000e+00,0.000000e+00
-8.002024e-01,0.000000e+00,0.000000e+00
-7.977024e-01,0.000000e+00,0.000000e+00
-7.952024e-01,0.000000e+00,0.000000e+00
-7.927024e-01,0.000000e+00,0.000000e+00
-7.902024e-01,0.000000e+00,0.000000e+00
-7.877024e-01,0.000000e+00,0.000000e+00
-7.852024e-01,0.000000e+00,0.000000e+00
-7.827024e-01,0.000000e+00,0.000000e+00
-7.802024e-01,0.000000e+00,0.000000e+00
-7.777024e-01,0.000000e+00,0.000000e+00
-7.752024e-01,0.000000e+00,0.000000e+00
-7.727024e-01,0.000000e+00,0.000000e+00
-7.702024e-01,0.000000e+00,0.000000e+00
-7.677024e-01,0.000000e+00,0.000000e+00
-7.652024e-01,0.000000e+00,0.000000e+00
-7.627024e-01,0.000000e+00,0.000000e+00
-7.602024e-01,0.000000e+00,0.000000e+00
-7.577024e-01,0.000000e+00,0.000000e+00
-7.552024e-01,0.000000e+00,0.000000e+00
-7.527024e-01,0.000000e+00,0.000000e+00
-7.502024e-01,0.000000e+00,0.000000e+00
-7.477024e-01,0.000000e+00,0.000000e+00
-7.452024e-01,0.000000e+00,0.000000e+00
-7.427024e-01,0.000000e+00,0.000000e+00
-7.402024e-01,0.000000e+00,0.000000e+00
-7.377024e-01,0.000000e+00,0.000000e+00
-7.352024e-01,0.000000e+00,0.000000e+00
-7.327024e-01,0.000000e+00,0.000000e+00
-7.302024e-01,0.000000e+00,0.000000e+00
-7.277024e-01,0.000000e+00,0.000000e+00
-7.252024e-01,0.000000e+00,0.000000e+00
-7.227024e-01,0.000000e+00,0.000000e+00
-7.202024e-01,0.000000e+00,0.000000e+00
-7.177024e-01,0.000000e+00,0.000000e+00
-7.152024e-01,0.000000e+00,0.000000e+00
-7.127024e-01,0.000000e+00,0.000000e+00
-7.102024e-01,0.000000e+00,0.000000e+00
-7.077024e-01,0.000000e+00,0.000000e+00
-7.052024e-01,0.000000e+00,0.000000e+00
-7.027024e-01,0.000000e+00,0.000000e+00
-7.002024e-01,0.000000e+00,0.000000e+00
-6.977024e-01,0.000000e+00,0.000000e+00
-6.952024e-01,0.000000e+00,0.000000e+00
-6.927024e-01,0.000000e+00,0.000000e+00
-6.902024e-01,0.000000e+00,0.000000e+00
